Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,TB,Rotation,Comment
D48_63,D1608[0603]S,98.2086mm,65.0056mm,98.2086mm,65.0056mm,98.7389mm,65.5359mm,T,225,LED
D49_63,D1608[0603]S,100.1898mm,65.0056mm,100.1898mm,65.0056mm,100.7201mm,65.5359mm,T,225,LED
D50_63,D1608[0603]S,102.171mm,65.0056mm,102.171mm,65.0056mm,102.7013mm,65.5359mm,T,225,LED
D51_63,D1608[0603]S,104.1522mm,65.0056mm,104.1522mm,65.0056mm,104.6825mm,65.5359mm,T,225,LED
D52_63,D1608[0603]S,106.1334mm,65.0056mm,106.1334mm,65.0056mm,106.6637mm,65.5359mm,T,225,LED
D53_63,D1608[0603]S,108.1146mm,65.0056mm,108.1146mm,65.0056mm,108.6449mm,65.5359mm,T,225,LED
D54_63,D1608[0603]S,110.0958mm,65.0056mm,110.0958mm,65.0056mm,110.6261mm,65.5359mm,T,225,LED
D55_63,D1608[0603]S,112.077mm,65.0056mm,112.077mm,65.0056mm,112.6073mm,65.5359mm,T,225,LED
D56_63,D1608[0603]S,114.0582mm,65.0056mm,114.0582mm,65.0056mm,114.5885mm,65.5359mm,T,225,LED
D57_63,D1608[0603]S,116.0394mm,65.0056mm,116.0394mm,65.0056mm,116.5697mm,65.5359mm,T,225,LED
D58_63,D1608[0603]S,118.0206mm,65.0056mm,118.0206mm,65.0056mm,118.5509mm,65.5359mm,T,225,LED
D59_63,D1608[0603]S,120.0018mm,65.0056mm,120.0018mm,65.0056mm,120.5321mm,65.5359mm,T,225,LED
D60_63,D1608[0603]S,121.983mm,65.0056mm,121.983mm,65.0056mm,122.5133mm,65.5359mm,T,225,LED
D61_63,D1608[0603]S,123.9642mm,65.0056mm,123.9642mm,65.0056mm,124.4945mm,65.5359mm,T,225,LED
D62_63,D1608[0603]S,125.9454mm,65.0056mm,125.9454mm,65.0056mm,126.4757mm,65.5359mm,T,225,LED
D63_63,D1608[0603]S,127.9266mm,65.0056mm,127.9266mm,65.0056mm,128.4569mm,65.5359mm,T,225,LED
D64_63,D1608[0603]S,129.9078mm,65.0056mm,129.9078mm,65.0056mm,130.4381mm,65.5359mm,T,225,LED
D1_62,D1608[0603]S,5.0922mm,66.9868mm,5.0922mm,66.9868mm,5.6225mm,67.5171mm,T,225,LED
D2_62,D1608[0603]S,7.0734mm,66.9868mm,7.0734mm,66.9868mm,7.6037mm,67.5171mm,T,225,LED
D3_62,D1608[0603]S,9.0546mm,66.9868mm,9.0546mm,66.9868mm,9.5849mm,67.5171mm,T,225,LED
D4_62,D1608[0603]S,11.0358mm,66.9868mm,11.0358mm,66.9868mm,11.5661mm,67.5171mm,T,225,LED
D5_62,D1608[0603]S,13.017mm,66.9868mm,13.017mm,66.9868mm,13.5473mm,67.5171mm,T,225,LED
D6_62,D1608[0603]S,14.9982mm,66.9868mm,14.9982mm,66.9868mm,15.5285mm,67.5171mm,T,225,LED
D7_62,D1608[0603]S,16.9794mm,66.9868mm,16.9794mm,66.9868mm,17.5097mm,67.5171mm,T,225,LED
D8_62,D1608[0603]S,18.9606mm,66.9868mm,18.9606mm,66.9868mm,19.4909mm,67.5171mm,T,225,LED
D9_62,D1608[0603]S,20.9418mm,66.9868mm,20.9418mm,66.9868mm,21.4721mm,67.5171mm,T,225,LED
D10_62,D1608[0603]S,22.923mm,66.9868mm,22.923mm,66.9868mm,23.4533mm,67.5171mm,T,225,LED
D11_62,D1608[0603]S,24.9042mm,66.9868mm,24.9042mm,66.9868mm,25.4345mm,67.5171mm,T,225,LED
D12_62,D1608[0603]S,26.8854mm,66.9868mm,26.8854mm,66.9868mm,27.4157mm,67.5171mm,T,225,LED
D13_62,D1608[0603]S,28.8666mm,66.9868mm,28.8666mm,66.9868mm,29.3969mm,67.5171mm,T,225,LED
D14_62,D1608[0603]S,30.8478mm,66.9868mm,30.8478mm,66.9868mm,31.3781mm,67.5171mm,T,225,LED
D15_62,D1608[0603]S,32.829mm,66.9868mm,32.829mm,66.9868mm,33.3593mm,67.5171mm,T,225,LED
D16_62,D1608[0603]S,34.8102mm,66.9868mm,34.8102mm,66.9868mm,35.3405mm,67.5171mm,T,225,LED
D17_62,D1608[0603]S,36.7914mm,66.9868mm,36.7914mm,66.9868mm,37.3217mm,67.5171mm,T,225,LED
D18_62,D1608[0603]S,38.7726mm,66.9868mm,38.7726mm,66.9868mm,39.3029mm,67.5171mm,T,225,LED
D19_62,D1608[0603]S,40.7538mm,66.9868mm,40.7538mm,66.9868mm,41.2841mm,67.5171mm,T,225,LED
D20_62,D1608[0603]S,42.735mm,66.9868mm,42.735mm,66.9868mm,43.2653mm,67.5171mm,T,225,LED
D21_62,D1608[0603]S,44.7162mm,66.9868mm,44.7162mm,66.9868mm,45.2465mm,67.5171mm,T,225,LED
D22_62,D1608[0603]S,46.6974mm,66.9868mm,46.6974mm,66.9868mm,47.2277mm,67.5171mm,T,225,LED
D23_62,D1608[0603]S,48.6786mm,66.9868mm,48.6786mm,66.9868mm,49.2089mm,67.5171mm,T,225,LED
D24_62,D1608[0603]S,50.6598mm,66.9868mm,50.6598mm,66.9868mm,51.1901mm,67.5171mm,T,225,LED
D25_62,D1608[0603]S,52.641mm,66.9868mm,52.641mm,66.9868mm,53.1713mm,67.5171mm,T,225,LED
D26_62,D1608[0603]S,54.6222mm,66.9868mm,54.6222mm,66.9868mm,55.1525mm,67.5171mm,T,225,LED
D27_62,D1608[0603]S,56.6034mm,66.9868mm,56.6034mm,66.9868mm,57.1337mm,67.5171mm,T,225,LED
